Navn;Navn Detaljeret;Adresse;Telefon;Email;Hjemmeside;Kommune;Region;Facilitetstype;Placering;Ejerforhold;Driftsherre;Eksterne bemærkninger;Gis X;Gis Y;UTM;Antal baner
Adina Apartment Hotel;Pool;Amerika Plads 7, 2100 København Ø;;;https://www.tfehotels.com/brands/adina-apartment-hotels/adina-apartment-hotel-copenhagen;København;Hovedstaden;Svømmeanlæg;Indendørs;Privat;Privat;"Andet svømmebassin

***

5 x 12,5 m, dybde: 1 – 1,50 m. Adgang gennem: http://www.svoemmelaereren.dk";725817;6178320;32N;Andre svømmebassiner=1
Amager Fælled Skole;Gymnastiksal N108;Sundholmsvej 2 A, 2300 København S;;mail@afs.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726104;6174382;32N;
Amager Fælled Skole;Gymnastiksal NK01;Sundholmsvej 2 A, 2300 København S;;mail@afs.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726104;6174382;32N;
Amagerbro Fysioterapi & Træningscenter;;Kirkegårdsvej 25A, 2300 København S;32 96 60 02;amagerbro@fysioterapeuter.com;http://www.amagerbrofysioterapi.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;727185;6173975;32N;
Arndal Spa og Fitness;;Store Kongensgade 21, 1264 København K;33 33 02 42 ;info@arndalspa.dk;http://arndalspa.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;725417;6176560;32N;
ATK Hallen;;Borups Allé 273, 2700 Brønshøj;;atk@atk-tennis.dk;http://www.atk-tennis.dk/;København;Hovedstaden;Tennisanlæg;Indendørs;Selvejende institution;Forening;ATK's medlemmer har fortrinsret til at reservere baner i hallen.;720912;6178790;32N;Kunststofbaner=2
B.93 ;Det gamle anlæg;Per Henrik Lings Allé 10, 2100 København;;tennis@b93tennis.dk;http://b93-tennis.dk/;København;Hovedstaden;Tennisanlæg;Udendørs;Kommunal;Forening;"
";724629;6178821;32N;Grusbaner=9,Kunststofbaner=1
B.93;Det nye anlæg;Ved Sporsløjfen 10, 2100 København Ø;;tennis@b93tennis.dk;http://b93-tennis.dk/;København;Hovedstaden;Tennisanlæg;Udendørs;Kommunal;Forening;;725114;6179905;32N;Grusbaner=8
B.93;Fodbold, Svanemølleanlægget;Ved Sporsløjfen 10, 2100 København Ø;;tennis@b93tennis.dk;http://fodbold.b93.dk/;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;Etableringsår kunstgræsbane(r): 2006, 2018;725114;6179905;32N;Naturgræsbaner=2,Kunstgræsbaner=3
B.93;B.93 Tennishal;Ved Sporsløjfen 10, 2100 København Ø;;tennis@b93tennis.dk;http://b93-tennis.dk/;København;Hovedstaden;Tennisanlæg;Indendørs;Forening;Forening;Underlag: Plexicushion.;725114;6179905;32N;Kunststofbaner=4
Bavnehøj Idrætsanlæg;Bavnehøj Friluftsbad;Enghavevej 90, 2450 København SV;;kffdl_bavnehoj_bad@kff.kk.dk;https://svoemkbh.kk.dk/bavnehoej-friluftsbad;København;Hovedstaden;Svømmeanlæg;Udendørs;Kommunal;Kommunal;"25 m. bassin med 6 baner

Andre svømmebassiner: legebassin

***

Alle bassiner er udendørs.";722607;6173896;32N;Svømmebassiner 25 m=1,Andre svømmebassiner=1
Bavnehøj Idrætsanlæg;Fodboldbaner;Enghavevej 90, 2450 København SV;33 66 30 50;;http://kultursyd.kk.dk/bavnehoejidraetsanlaegogfriluftsbad;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;Etableringsår kunstgræsbane(r): 2011;722607;6173896;32N;Naturgræsbaner=1,Kunstgræsbaner=1
Bavnehøj Idrætsanlæg;Træningslokale;Enghavevej 90, 2450 København SV;33 66 30 50;;http://kultursyd.kk.dk/bavnehoejidraetsanlaegogfriluftsbad;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;105 m2.;722607;6173896;32N;
Bavnehøj Idrætsanlæg;Bokselokale;Enghavevej 90, 2450 København SV;33 66 30 50;;http://kultursyd.kk.dk/bavnehoejidraetsanlaegogfriluftsbad;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;105 m2.;722607;6173896;32N;
Bavnehøj Idrætsanlæg;Vægtløftningslokale;Enghavevej 90, 2450 København SV;33 66 30 50;;http://kultursyd.kk.dk/bavnehoejidraetsanlaegogfriluftsbad;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;105 m2.;722607;6173896;32N;
Bavnehøj Idrætsanlæg;Hal;Enghavevej 90, 2450 København SV;33 66 30 50;;https://kulturv.kk.dk/bavnehoejidraetsanlaeg;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;;722607;6173896;32N;Håndboldbaner=1
Bavnehøj Skole;Gymnastiksal 58 dr.sal;Nathalie Zahles Vej 9, 2450 København SV;;mail@bav.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722403;6173676;32N;
Bavnehøj Skole;Gymnastiksal 59 pigesal;Nathalie Zahles Vej 9, 2450 København SV;;mail@bav.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722403;6173676;32N;
Bellahøj Hallerne;Hal 1;Bellahøjvej 1, 2700 Brønshøj;;;http://bellahojhallerne.kk.dk/;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;;720790;6178960;32N;Håndboldbaner=1
Bellahøj Hallerne;Hal 2;Bellahøjvej 1, 2700 Brønshøj;;;http://bellahojhallerne.kk.dk/;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;Harpiksfri hal;720790;6178960;32N;Håndboldbaner=1
Bellahøj Skole;Atletikanlæg;Svenskelejren 18, 2700 Brønshøj;;mail@bellahoej.kk.dk;http://bellahoej.skoleporten.dk/sp;København;Hovedstaden;Atletikanlæg;Udendørs;Kommunal;Kommunal;"150 m (ca.) kunststofbane med 4 baner

Andre faciliteter til: længdespring

***

Kunstgræsfodboldbane i midten af løbebanen";720429;6178759;32N;Andre/delvise atletikanlæg=1
Bellahøj Skole;Tumlesal 18A;Svenskelejren 18, 2700 Brønshøj;;mail@bellahoej.kk.dk;http://bellahoej.skoleporten.dk/sp;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720429;6178759;32N;
Bellahøj Skole;Gymnastiksal 17/drengesal;Svenskelejren 18, 2700 Brønshøj;;mail@bellahoej.kk.dk;http://bellahoej.skoleporten.dk/sp;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720429;6178759;32N;
Bellahøj Skole;Gymnastiksal 18/pigesal;Svenskelejren 18, 2700 Brønshøj;;mail@bellahoej.kk.dk;http://bellahoej.skoleporten.dk/sp;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720429;6178759;32N;
